dataset,model,accuracy,precision,recall
Breast Cancer dataset,Gaussian Naive Bayes Classifier,0.956140350877193,0.956140350877193,0.956140350877193
Breast Cancer dataset,Decision Tree Classifier,0.9385964912280702,0.9385964912280702,0.9385964912280702
Breast Cancer dataset,Support Vector Classifier,0.9736842105263158,0.9736842105263158,0.9736842105263158
Breast Cancer dataset,K Nearest Neighbors Classifier,0.9649122807017544,0.9649122807017544,0.9649122807017544
Breast Cancer dataset,Ada Boost Classifier,0.9912280701754386,0.9912280701754386,0.9912280701754386
Digits dataset,Gaussian Naive Bayes Classifier,0.8527777777777777,0.8527777777777777,0.8527777777777777
Digits dataset,Decision Tree Classifier,0.8083333333333333,0.8083333333333333,0.8083333333333333
Digits dataset,Support Vector Classifier,0.975,0.975,0.975
Digits dataset,K Nearest Neighbors Classifier,0.9861111111111112,0.9861111111111112,0.9861111111111112
Digits dataset,Ada Boost Classifier,0.21944444444444444,0.21944444444444444,0.21944444444444444
Iris dataset,Gaussian Naive Bayes Classifier,0.9333333333333333,0.9333333333333333,0.9333333333333333
Iris dataset,Decision Tree Classifier,0.9,0.9,0.9
Iris dataset,Support Vector Classifier,0.9333333333333333,0.9333333333333333,0.9333333333333333
Iris dataset,K Nearest Neighbors Classifier,0.9,0.9,0.9
Iris dataset,Ada Boost Classifier,0.9,0.9,0.9
Wine datset,Gaussian Naive Bayes Classifier,0.9444444444444444,0.9444444444444444,0.9444444444444444
Wine datset,Decision Tree Classifier,0.9166666666666666,0.9166666666666666,0.9166666666666666
Wine datset,Support Vector Classifier,0.6666666666666666,0.6666666666666666,0.6666666666666666
Wine datset,K Nearest Neighbors Classifier,0.6111111111111112,0.6111111111111112,0.6111111111111112
Wine datset,Ada Boost Classifier,0.6111111111111112,0.6111111111111112,0.6111111111111112
